0.000	0.000	0.000
0.050	0.000	0.000
0.100	0.000	0.000
0.150	0.000	0.000
0.200	0.000	0.000
0.250	0.000	0.000
0.300	0.000	0.000
0.350	0.000	0.000
0.400	0.000	0.000
0.450	0.000	0.000
0.500	0.000	0.000
0.550	0.000	0.000
0.600	0.000	0.000
0.650	0.000	0.000
0.700	0.000	0.000
0.750	0.000	0.000
0.800	0.000	0.000
0.850	0.000	0.000
0.900	0.000	0.000
0.950	0.000	0.000
1.000	0.000	0.000
1.050	0.000	0.000
1.100	0.000	0.000
1.150	0.000	0.000
1.200	0.000	0.000
1.250	0.000	0.000
1.300	0.000	0.000
1.350	0.000	0.000
1.400	0.000	0.000
1.450	0.000	0.000
1.500	0.000	0.000
1.550	0.000	0.000
1.600	0.000	0.000
1.650	0.000	0.000
1.700	0.000	0.000
1.750	0.000	0.000
1.800	0.000	0.000
1.850	0.000	0.000
1.900	0.000	0.000
1.950	0.000	0.000
2.000	0.000	0.000
2.050	0.000	0.000
2.100	0.000	0.000
2.150	0.000	0.000
2.200	0.000	0.000
2.250	0.000	0.000
2.300	0.000	0.000
2.350	0.000	0.000
2.400	0.000	0.000
2.450	0.000	0.000
2.500	0.000	0.000
2.550	0.000	0.000
2.600	0.000	0.000
2.650	0.000	0.000
2.700	0.000	0.000
2.750	0.000	0.000
2.800	0.000	0.000
2.850	0.000	0.000
2.900	0.000	0.000
2.950	0.000	0.000
3.000	0.000	0.000
3.050	0.000	0.000
3.100	0.000	0.000
3.150	0.000	0.000
3.200	0.000	0.000
3.250	0.000	0.000
3.300	0.000	0.000
3.350	0.000	0.000
3.400	0.000	0.000
3.450	5.000	0.000
3.500	5.000	0.833
3.550	5.000	2.233
3.600	5.000	2.967
3.650	5.000	3.267
3.700	5.000	3.433
3.750	5.000	3.600
3.800	5.000	3.533
3.850	5.000	3.633
3.900	5.000	3.567
3.950	5.000	3.700
4.000	5.000	3.633
4.050	5.000	3.667
4.100	5.000	3.633
4.150	5.000	3.600
4.200	5.000	3.633
4.250	5.000	3.700
4.300	5.000	3.633
4.350	5.000	3.667
4.400	5.000	3.600
4.450	5.000	3.633
4.500	5.000	3.767
4.550	5.000	3.667
4.600	5.000	3.500
4.650	5.000	3.667
4.700	5.000	3.700
4.750	5.000	3.667
4.800	5.000	3.567
4.850	5.000	3.667
4.900	5.000	3.667
4.950	5.000	3.700
5.000	5.000	3.667
5.050	5.000	3.567
5.100	5.000	3.733
5.150	5.000	3.567
5.200	5.000	3.733
5.250	5.000	3.567
5.300	5.000	3.667
5.350	5.000	3.700
5.400	5.000	3.600
5.450	5.000	3.600
5.500	5.000	3.700
5.550	5.000	3.600
5.600	5.000	3.633
5.650	5.000	3.667
5.700	5.000	3.633
5.750	5.000	3.667
5.800	5.000	3.667
5.850	5.000	3.567
5.900	5.000	3.733
5.950	5.000	3.633
6.000	5.000	3.667
6.050	5.000	3.667
6.100	5.000	3.667
6.150	5.000	3.600
6.200	5.000	3.633
6.250	5.000	3.733
6.300	5.000	3.667
6.350	5.000	3.633
6.400	5.000	3.600
6.450	5.000	3.667
6.500	5.000	3.633
6.550	5.000	3.667
6.600	5.000	3.667
6.650	5.000	3.700
6.700	5.000	3.600
6.750	5.000	3.600
6.800	5.000	3.700
6.850	5.000	3.600
6.900	5.000	3.667
6.950	5.000	3.600
7.000	5.000	3.633
7.050	5.000	3.667
